Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ILK83SCP,journalArticle,2025,"Iacob, Ioana",Beyond the Bottom Line: Assessing Non-Economic Barriers to Hydrogen Adoption,,,,10.1184/R1/28912274.V1,https://kilthub.cmu.edu/articles/thesis/Beyond_the_Bottom_Line_Assessing_Non-Economic_Barriers_to_Hydrogen_Adoption/28912274/1,"To achieve a deep reduction in the emission of greenhouse gases, the global clean energy transition will require the wide adoption of sustainable and low-carbon energy sources. Hydrogen has emerged as a promising part of a portfolio of solutions, with the potential to offer a clean alternative for various sectors such as transportation, industry, and power generation. However, integrating hydrogen into the existing energy infrastructure presents challenges, including issues of cost competitiveness, achieving clean production with very low leakage, public understanding and acceptance, and ensuring a reliable supply chain. All of these challenges underscore the complexities involved in the deployment and adoption of a transformative technology within energy and infrastructure systems. Currently dozens of pilot projects, designed to jumpstart the production and use of hydrogen and demonstrate its large-scale application in the energy mix, are being planned and developed across the United States. While achieving, or at least providing a pathway to, cost competitiveness is a key market-based objective for these projects, identifying and overcoming non-economic challenges will be at least as important to ensuring the successful development of a hydrogen market. This dissertation contributes to the understanding of barriers and opportunities associated with the widespread use of hydrogen technologies in the United States today. It applies both qualitative and quantitative methods to (1) evaluate barriers identified across published national hydrogen roadmaps, as well as stakeholder views on non-economic barriers the hydrogen market is currently facing in the US; (2) gain a more nuanced understanding of the public perception of hydrogen and hydrogen hubs; and (3) provide a comparative lifecycle assessment of the envi?ronmental impacts that various regions of the US will face in establishing hydrogen production facilities. The results advance the understanding of current opportunities in the integration of hydrogen into the clean energy sector and provides actionable guidance to aid decision-makers and stakeholders in the development and implementation of the U.S. Hydrogen Roadmap. Results and insights from this dissertation can be summarized as follows. Global barriers to hydrogen development, as identified in existing national hydrogen roadmaps, were shown to be infrastructure development, market development, and the need for research and development. Domestically, providing regulatory clarity and addressing decision makers’ lack of awareness were the two non-economic barriers that stakeholders identified as being the most impactful to hydrogen technology deployment today. Additionally, public perception of hydrogen resulted vi in surprisingly disparate views between industry and government employees – suggesting an opportunity for these groups to work together in addressing this barrier. To address public perception, private and public sectors should work together to develop balanced messages and address the public’s desire for additional information. Specifically, leak detection and safety considerations were top concerns for participants in the focus group participants in the Southwest Pennsylvania case study. Lastly, as regulatory policies are proposed and refined, incentives need to be carefully designed to ensure developers’ process designs and investments achieve the low?carbon goals of hydrogen technology. In terms of greenhouse gas emissions, while no single variable can result in increasing a developer’s clean energy tax credit eligibility, the electricity grid mix provided the largest impact independently to emissions.",2025,5/20/25 15:39,5/20/25 15:39,5/20/25 15:39,10789442 Bytes,,,,,,Beyond the Bottom Line,,,,,,,,Creative Commons Attribution 4.0 International,,,,DOI.org (Datacite),,Artwork Size: 10789442 Bytes Publisher: Carnegie Mellon University,,,,,Engineering; Other engineering; Other engineering not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILK8X844,thesis,2013,"Lovejoy, Rebekah","Post-cool kids: How the children born into the counterculture of the American 1960s and 70s became a scattered, disorganized, postmodern tribe",,,,,https://www.proquest.com/docview/1367590728?pq-origsite=primo,"This is an ethnographic and depth psychological study of Post-Cool Kids, people born into the 1960s American counterculture between 1964 and 1978. This population has been predominantly overlooked by the academy apart from the Family Lifestyles Study completed at UCLA twenty years ago. In this, the first study of its kind, I explore the ethnological specificity of this set of people, Post-Cool Kids. I have integrated the methodologies of Michel Foucault and the theories of archetypal psychology developed by James Hillman with work done by Victor Turner as well as other work from the disciplines of anthropology, sociology, literary criticism, feminist theory, cultural studies and histories of the sixties era. I use this interdisciplinary data to inform a qualitative study of eighteen subjects raised by countercultural parents. I asked my subjects about their lives as children, teenagers, young adults, and currently approaching midlife. Through an analysis of these interviews I identified six cultural complexes specific to the counterculture that I then deconstructed and discussed as systems of knowing within the American culture of the last forty years: freedom, anti-authority, intense experience, cool, being real, and utopia. These complexes together provide a unique way of experiencing the world that informs the ethnological and psychological perspective of Post-Cool Kids, and provides them with a multi-schematic, process-based way of engaging with the world around them. I also discuss such topics as alternative education, communal experiences, drug addiction, creative thinking, embodied trauma, parental entwinement, and personal activism. My objective was to identify the transmission of culture from counterculture parents to their Post-Cool Kids. In the process I developed several unique methodological approaches. Merging postmodern theory, archetypal psychology and methods from religious studies and anthropology, I evaluate the nature of belief within a secular cultural context. Ultimately, I place American historical concepts of utopia side by side with the experience and multi-schematic perspective of Post-Cool Kids to suggest that they represent an emergent pattern in culture, and show how they can inform new theories of utopia.",2013,5/22/25 18:28,5/22/25 18:28,5/22/25 18:28,,,,,,,Post-cool kids,,,,,ProQuest Dissertations & Theses,,eng,,,,,mit.primo.exlibrisgroup.com,,"Book Title: Post-cool kids: How the children born into the counterculture of the American 1960s and 70s became a scattered, disorganized, postmodern tribe ISBN: 9781303075322 ISSN: 0419-4209 Issue: 9 Volume: 74",,,,,Children; Counterculture; Ethnology; Parents; Psychology; Social psychology; Utopias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMQS7XZE,thesis,2016,"Horn, Abigail Lauren; Massachusetts Institute of Technology Institute for Data, Systems; Massachusetts Institute of Technology Engineering Systems Division",Locating the source of large scale outbreaks of foodborne disease,,,,,,"Foodborne illness outbreaks impose enormous health and economic burdens in the US. Identifying the origin of the contaminated food causing an outbreak is a challenging problem due to the complexity of the food supply and the absence of coherent labeling and distribution records. Current investigative methods are slow, resource intensive, and the overwhelming majority of investigations are unsuccessful in identifying the location source of an outbreak. New tools and approaches that take advantage of modern data and analytical techniques are needed to more quickly identify outbreak origins and prioritize response efforts. The practical objective of this work is to improve the food safety regulator's ability to efficiently locate the source of an outbreak while contamination-caused illnesses are occurring, thereby resolving investigations earlier and averting potential illnesses. This thesis develops new methods that leverage currently unutilized or underutilized sources of information to identify the location source of an outbreak. A novel, network-theoretic approach to source detection is developed that (1) immediately identifies all feasible source locations, (2) ranks the feasible locations by the likelihood that each one is the true source, and (3) develops a decision model for guiding investigators to implement effective interventions. The approach functions on food system network data, reported cases of illness at specific times and locations, and a prior probability function over likely sources. The methodology is the first to be designed specifically for tracing back outbreaks on food distribution networks. A Monte Carlo simulation environment was developed to evaluate traceback performance and robustness across a wide range of network structures and outbreak scenarios. When compared against existing traceback methods, both those currently in practice and those in academic literature, this methodology demonstrates significant improvements in accuracy, efficiency, and speed. Specific results suggest the approach can provide substantial benefits to the investigation process by identifying the source early enough in an outbreak's progression that a substantial fraction of cases of illness can be averted. These computational results serve as a powerful first step towards validating the accuracy and applicability of the approach. The immediate next step will be to demonstrate accuracy when applied to real food distribution networks. While acquiring representative network data for this purpose presents significant practical challenges, an additional contribution of this work is the identification of a representative network model that can be integrated with the source identification methodology, forming a holistic traceback framework.",2016,5/22/25 18:29,5/22/25 18:29,,,,,,,,,,,,,"Massachusetts Institute of Technology, School of Engineering, Institute for Data, Systems, and Society",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis IDSS 2016 Ph.D.,Book Title: Locating the source of large scale outbreaks of foodborne disease,,,,,,,,,"Massachusetts Institute of Technology Institute for Data, Systems; Massachusetts Institute of Technology Engineering Systems Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INJVS66J,thesis,2017,"Welle, Paul",Remotely Sensed Data for High Resolution Agro-Environmental Policy Analysis,,,,,https://kilthub.cmu.edu/articles/thesis/Remotely_Sensed_Data_for_High_Resolution_Agro-Environmental_Policy_Analysis/6721313/1,"Policy analyses of agricultural and environmental systems are often limited due to data constraints. Measurement campaigns can be costly, especially when the area of interest includes oceans, forests, agricultural regions or other dispersed spatial domains. Satellite based remote sensing offers a way to increase the spatial and temporal resolution of policy analysis concerning these systems. However, there are key limitations to the implementation of satellite data. Uncertainty in data derived from remote-sensing can be significant, and traditional methods of policy analysis for managing uncertainty on large datasets can be computationally expensive. Moreover, while satellite data can increasingly offer estimates of some parameters such as weather or crop use, other information regarding demographic or economic data is unlikely to be estimated using these techniques. Managing these challenges in practical policy analysis remains a challenge. In this dissertation, I conduct five case studies which rely heavily on data sourced from orbital sensors. First, I assess the magnitude of climate and anthropogenic stress on coral reef ecosystems. Second, I conduct an impact assessment of soil salinity on California agriculture. Third, I measure the propensity of growers to adapt their cropping practices to soil salinization in agriculture. Fourth, I analyze whether small-scale desalination units could be applied on farms in California in order mitigate the effects of drought and salinization as well as prevent agricultural drainage from entering vulnerable ecosystems. And fifth, I assess the feasibility of satellite-based remote sensing for salinity measurement at global scale. Through these case studies, I confront both the challenges and benefits associated with implementing satellite based-remote sensing for improved policy analysis.",8/1/17,5/20/25 15:34,5/20/25 15:34,5/20/25 15:30,,,,,,,,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6721313.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQHRXTLN,journalArticle,2023,"Grayek, Emily",A Decision Science Approach Towards Improving the Study of Adherence Information,,,,10.1184/R1/22207771.V1,https://kilthub.cmu.edu/articles/thesis/A_Decision_Science_Approach_Towards_Improving_the_Study_of_Adherence_Information/22207771/1,"Imperfect adherence to research protocols is a ubiquitous problem across studies evaluating the effectiveness of interventions. Imperfect adherence decreases the average outcome effects measured during clinical trials and observational studies. Many methods exist to measure adherence which differ in their accuracy and costs, depending on the type of intervention. Study designs improve adherence through reminders to participants or evaluation during a run-in period. Analysis methods can account for imperfect adherence, but they vary in terms of the statistical assumptions required and the potential bias that each introduces. This dissertation applies decision science principals to create recommendations addressing how adherence should be measured, analyzed, and reported for future studies. Decision scientists can fill many roles in terms of informing policy analysis. Three roles addressed by this dissertation include (a) translating human behavior into analytic terms, (b) treating analysis as human behavior, and (c) facilitating two-way communication between experts and lay people. Chapter two addresses (a) by using a simulated clinical trial of a common hypertension drug in order to inform when collecting adherence information could be beneficial to researchers. The trial evaluates two trial designs, a randomized controlled trial with and without an enrichment period, and two analysis methods, intent-to-treat analysis and per-protocol analysis. This simulated trial finds that the costs of using a less pragmatic study design or more biased analysis method does not outweigh the benefits of the monetary savings that these approaches provide. Chapter three addresses (b) by evaluating how imperfect adherence is accounted for by researchers of software as medical device (SaMD) apps. The chapter uses normative criteria from the literature to evaluate how researchers measure and analyze adherence information. Our review finds that the majority of trials imperfectly reported adherence metrics (63%) and did not use an appropriate method to evaluate efficacy (75%). Future SaMD trials could be improved by reporting all facets of adherence, preregistering efficacy analyses, and using less biased analysis methods. Chapter four continues to address (b) by applying the recommendations found from Chapter three to evaluate the MyHealthyPregnancy (MHP) app. The MHP app collected observational data between September 2019 and February 2022. Metrics of each facet of usage find that usage of the MHP app during the study was very low. For example, the majority of participants used an app activity less than three days throughout the trial. An evaluation of the average treatment effect finds no evidence that the MHP app is effective at increasing gestational age at birth or reducing preterm birth risk. Analyzing the dose-response effect for app usage finds that increased use is correlated with increased gestational age at birth. The interpretation of this finding is limited by our knowledge of confounders and low usage of the app by study participants. In the future, studies could be improved through a randomized trial design and increased app usage. The sum of this work has identified many gaps between how researchers are currently accounting for imperfect adherence and how they could address this source of bias in the future. Researchers would benefit from measuring adherence both in terms of how users interact with an intervention and how they interact with recommendations from the intervention. They would also benefit from measuring and reporting on all facets of adherence. Analysis of adherence could be improved through the preregistration of efficacy analyses and more careful consideration of the confounders that could affect these analyses. Regulators could support these changes by creating clearer guidelines for accounting for imperfect adherence and more strict requirements for the preregistration of observational studies.",2023,5/20/25 15:36,5/20/25 15:36,5/20/25 15:36,1492159 Bytes,,,,,,,,,,,,,,In Copyright,,,,DOI.org (Datacite),,Artwork Size: 1492159 Bytes Publisher: Carnegie Mellon University,,/Users/stacy/Zotero/storage/YAZZWNQW/Grayek - 2023 - A Decision Science Approach Towards Improving the Study of Adherence Information.pdf,,,160510 Public Policy; FOS: Political science; FOS: Mathematics; Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISP69JCI,thesis,2009,"Castillo, Andrea R.; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",Assessing computational methods and science policy in systems biology,,,,,,"In this thesis, I discuss the development of systems biology and issues in the progression of this science discipline. Traditional molecular biology has been driven by reductionism with the belief that breaking down a biological system into the fundamental biomolecular components will elucidate such phenomena. We have reached limitations with this approach due to the complex and dynamical nature of life and our inability to intuit biological behavior from a modular perspective [37]. Mathematical modeling has been integral to current system biology endeavors since detailed analysis would be invasive if performed on humans experimentally or in clinical trials [17]. The interspecies commonalities in systemic properties and molecular mechanisms suggests that certain behaviors transcend specie differentiation and therefore easily lend to generalizing from simpler organisms to more complex organisms such as humans [7, 17]. Current methodologies in mathematical modeling and analysis have been diverse and numerous, with no standardization to progress the discipline in a collaborative manner. Without collaboration during this formative period, successful development and application of systems biology for societal welfare may be at risk. Furthermore, such collaboration has to be standardized in a fundamental approach to discover generic principles, in the manner of preceding long-standing science disciplines. This study effectively implements and analyzes a mathematical model of a three-protein biochemical network, the Synechococcus elongatus circadian clock., (cont.) I use mass action theory expressed in kronecker products to exploit the ability to apply numerical methods-including sensitivity analysis via boundary value formulation (BVP) and trapiezoidal integration rule-and experimental techniques-including partial reaction fitting and enzyme-driven activations-when mathematically modeling large-scale biochemical networks. Amidst other applicable methodologies, my approach is grounded in the law of mass action because it is based in experimental data and biomolecular mechanistic properties, yet provides predictive power in the complete delineation of the biological system dynamics for all future time points. The results of my research demonstrate the holistic approach that mass action method-ologies have in determining emergent properties of biological systems. I further stress the necessity to enforce collaboration and standardization in future policymaking, with reconsiderations on current stakeholder incentive to redirect academia and industry focus from new molecular entities to interests in holistic understanding of the complexities and dynamics of life entities. Such redirection away from reductionism could further progress basic and applied scientific research to embetter our circumstances through new treatments and preventive measures for health, and development of new strains and disease control in agriculture and ecology [13].",2009,5/22/25 18:22,5/22/25 18:22,,,,,,,,,,,,,"Massachusetts Institute of Technology, Technology and Policy Program",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis ESD 2009 S.M.,Book Title: Assessing computational methods and science policy in systems biology,,,,,,,,,Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IW4N2LLB,thesis,2013,"Reis, Lynn; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",An exploration of materials taxonomies to support streamlined life cycle assessment,,,,,,"As life cycle assessment (LCA) gains prominence as a reliable method of environmental evaluation, concerns about data availability and quality have become more important. LCA is a resource intensive methodology, and thus data gaps pose a frequent challenge, motivating the need for robust streamlining approaches. Existing methods for filling data gaps often ignore the effects of the uncertainty inherent in estimated data. Under-specification, or using structured data to provide less information in product characterization, is one option to incorporate uncertainty, and has been shown to be a viable method both for streamlining and decision-making under uncertainty. However, previous work did not emphasize developing robust data structures intended to balance trade-offs between effectiveness and efficiency in streamlining methods. Furthermore, there was little consideration given to analyzing the environmental profile (multiple impacts) of a process, rather than a single impact. This thesis explores how data mining techniques can be used to quantitatively develop data structures to enable streamlined assessment. The use of clustering and principal component analysis is explored in an effort to identify potential material classifications, and other statistical methods further assess the classifications. These insights are used to create hierarchical taxonomies that are evaluated in terms of effectiveness and efficiency. The method is applied to life cycle inventory process datasets for three material types (metals, polymers, and precious metals). Four environmental midpoints from the TRACI 2.0 impact assessment method are used to illustrate the uncertainty reduction enabled by classification. It was found that the most useful classification method for both metals and polymers was based on price, and for precious metals, material type and recycled content. In general, the method was able to select efficient groupings that accounted for a large percentage of the overall variation in the data. With one additional level in the taxonomy, the overall median percent error rates were approximately 30- 40% for all impacts except non carcinogenicity, which was 65-80%. This is compared to initial error rates that were on average twice as high for the metals and precious metals datasets. Case studies demonstrated how the analysis and structure provided by this methodology can be useful in comparative decision-making, to reduce the number of elements prioritized for detailed data collection in triage methods, and for developing models to predict materials' impacts. This work serves as a framework for structuring data to enable streamlined LCA as well as provides guidance for predictive model development. By showing the feasibility of developing effective and efficient taxonomies, the work demonstrates a method to reduce the amount of information required to characterize a product while achieving relatively low uncertainty in the final product impact.",2013,5/22/25 18:24,5/22/25 18:24,,,,,,,,,,,,,"Massachusetts Institute of Technology, Engineering Systems Division, Technology and Policy Program",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis ESD 2013 S.M.,Book Title: An exploration of materials taxonomies to support streamlined life cycle assessment,,,,,,,,,Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IYSYUG7V,thesis,2011,"Le Dantec, Christopher A.",Community resource messenger: A mobile system and design exploration in support of the urban homeless,,,,,https://www.proquest.com/docview/903741881?pq-origsite=primo,"Access to computers, to mobile phones, and to data connectivity has opened new avenues of interaction and created expectations about the flattening of society brought about by these new modes of production. These technologies have enabled us to recognize many forms of community—from close knit social groups to individuals who merely co-habit public spaces—and to support interaction with each other in novel ways. The notion that modern digital technology holds promises of democratization by expanding access to information and broadening modes of knowledge production often fails to acknowledge that these benefits rely upon devices and infrastructure whose availability reflect socioeconomic contours; that the technologies that enable information access can also reinforce rather than obviate marginality due to barriers to access and suitability. This assessment points to opportunities for better understanding and better designing technologies for the marginalized or dispossessed. The research presented in this dissertation discusses the findings from empirical, theoretical, and design based investigations of technology use with the urban homeless. The empirical work provides a foundation for understanding current technology practices among the homeless and their care providers. The theoretical investigation develops Deweyan publics as a novel frame for participatory design. The design-based investigation presents findings from the design and deployment of the Community Resource Messenger at a shelter for homeless mothers. The results of this research shed light on impact of social computing platforms on social service provision and on the ways the staff and residents used the Community Resource Messenger as a resource for identifying common issues and taking action to contend with those issues.",2011,5/22/25 18:22,5/22/25 18:22,5/22/25 18:21,,,,,,,Community resource messenger,,,,,Georgia Institute of Technology,,eng,,,,,mit.primo.exlibrisgroup.com,,Book Title: Community resource messenger: A mobile system and design exploration in support of the urban homeless ISBN: 9781124997148,,,,,Computer science; Information technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZ53E5E2,thesis,2016,"Faria, De; Marcondes, Felipe Aguiar",Hydropower Development in the Brazilian Amazon,,,,,https://kilthub.cmu.edu/articles/thesis/Hydropower_Development_in_the_Brazilian_Amazon/6719885/1,"Brazil plans to meet the majority of its growing electricity demand with new hydropower plants located in the Amazon basin. The government’s energy policy forecasts the construction of 55 GW of installed capacity by 2028, with total investments in the range of 100 and 200 billion reais (30 to 60 billion dollars), and the creation 9,000 km2 of artificial reservoirs. However, the construction and operation of large hydropower plants may affect the environment, the local economy, and the population surrounding those projects. Considering the magnitude of the investments and the potential impacts for the Amazon basin, it is crucial to apply policy analysis techniques to support informed decisions about whether the construction of large hydropower plants in the Amazon is the best alternative to supply the additional electricity that Brazil needs, taking into account economic, social, and environmental costs and benefits. Here, I apply three different quantitative policy analysis techniques to assess three major questions related to the construction of hydropower plants in the Amazon region. First, I study the greenhouse gas emissions from hydropower reservoirs in the Amazon. Second, I explore the local socio-economic impacts of building hydropower plants. Finally, I investigate alternative electricity sources that could replace Amazon hydropower reservoirs by modeling the Brazilian electricity network under five capacity expansion scenarios.",7/1/16,5/20/25 15:34,5/20/25 15:34,5/20/25 15:28,,,,,,,,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6719885.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZMEARIS,thesis,2012,"El-Khoury, Bernard; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",Analytic framework for TRL-based cost and schedule models,,,,,,"Many government agencies have adopted the Technology Readiness Level (TRL) scale to help improve technology development management under ever increasing cost, schedule, and complexity constraints. Many TRL-based cost and schedule models have been developed to monitor technology maturation, mitigate program risk, characterize TRL transition times, or model schedule and cost risk for individual technologies as well technology systems and portfolios. In this thesis, we develop a 4-level classification of TRL models based on the often-implicit assumptions they make. For each level, we clarify the assumption, we list all supporting theoretical and empirical evidence, and then we use the same assumption to propose alternative or improved models whenever possible. Our results include a justification of the GAO's recommendations on TRL, two new methodologies for robust estimation of transition variable medians and for forecasting TRL transition variables using historical data, and a set of recommendations for TRL-based regression models.",2012,5/22/25 18:28,5/22/25 18:28,,,,,,,,,,,,,"Massachusetts Institute of Technology, Engineering Systems Division",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis ESD 2012 S.M.,Book Title: Analytic framework for TRL-based cost and schedule models,,,,,,,,,Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J6HHCYFA,thesis,2015,"Fingerhut, Henry Alan; Massachusetts Institute of Technology Institute for Data, Systems; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",A systems framework and modeling approach to predict and manage the mental health effects of a military conflict,,,,,,"Combat-related Post-Traumatic Stress Disorder (PTSD) poses complex challenges for policymakers that systems analysis could help elucidate. True population prevalence and future clinical need are highly uncertain, because individuals' PTSD symptomatology may fluctuate in time. Though we increasingly measure policy outcomes, outcome metrics often address direct, short-term effects, so the impact on long-term prevalence is unclear. The PTSD burden involves a diverse set of actors across domains who independently make decisions based on incomplete information. Systems analysis can indicate how these local aspects of the PTSD burden jointly impact long-term prevalence and identify leverage points for PTSD mitigation. This thesis presents a systems framework and stochastic modeling approach to predict PTSD prevalence and clinical demand over the decades following the current Operations Enduring Freedom (OEF) and Iraqi Freedom (OIF). The system developed in this study incorporates the literature on PTSD symptom dynamics and social factors governing its recognition and treatment in order to identify the structure and dynamics of the PTSD burden. The simulation results indicate the extent to which PTSD is chronic, prevalent, and resistant to treatment. The best-case model predicts that 11-16% of OEF/OIF combat veterans will maintain a long-term need for PTSD services, and as many as 23% of OEF/OIF combat veterans will seek PTSD-related health care at least once in their lives. By controlling for symptom dynamics, model results account for a large component of the variation in empirically observed prevalence rates. Sensitivity and policy analyses show that care-seeking factors tend to have the most significant effect on long-term PTSD prevalence. Model limitations and assumptions are documented, particularly regarding symptom and care-seeking dynamics and parameter interactions, to provide the basis for future empirical and analytical work to elaborate systemic complexities underlying military mental health. The current study specifically addresses OEF/OIF combat-related PTSD, however this approach may be generalized to other populations and mental health concerns. This study has three main policymaking implications. First, study predictions regarding long-term PTSD prevalence and clinical demand can be used for clinical planning and resource allocation over time. Second, baseline model results indicate the long-term limits of current best practice PTSD mitigation efforts. Third, the study identifies effective policy levers by indicating the factors with the greatest direct impact on long-term PTSD prevalence.",2015,5/22/25 18:29,5/22/25 18:29,,,,,,,,,,,,,"Massachusetts Institute of Technology, School of Engineering, Institute for Data, Systems, and Society, Technology and Policy Program",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis IDSS 2015 S.M.,Book Title: A systems framework and modeling approach to predict and manage the mental health effects of a military conflict,,,,,,,,,"Massachusetts Institute of Technology Institute for Data, Systems; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASCYKN4,thesis,2015,"Chang, Michael Tse-Gene; Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program",Performance targets for electric vehicle batteries,,,,,,"Light-duty vehicle transportation accounted for 17.2% of US greenhouse gas emissions in 2012 [95]. An important strategy for reducing CO₂ emissions emitted by light-duty vehicles is to reduce per-mile CO₂ emissions. While one approach is to improve vehicle efficiency, greater reductions in emissions can be achieved by switching from gasoline vehicles to electric vehicles, if the electric vehicles run on electricity from clean energy sources. Batteries affect the consumer adoption of electric vehicles by influencing two important vehicle characteristics: cost and driving range on a single charge. The cost of the battery is a significant fraction of total vehicle cost, and the battery's energy capacity determines driving range. To lower battery costs and improve battery energy capacity, further research is needed. To guide such research, several organizations have created performance targets for batteries, including the Advanced Research Projects Agency-Energy (ARPA-E) and the US Advanced Battery Consortium (USABC). The goal of this thesis is to assess these performance targets based on real-world vehicle performance. A method is developed for estimating the energy requirements of personal vehicle travel, which improves upon previous methods by accounting for per-trip variation of vehicle energy consumption and analyzing data with wider geographic scope. The method consists of a model of battery-to-wheel vehicle energy consumption and a conditional bootstrap procedure for combining GPS travel data with large-scale data from the US National Household Travel Survey. The research finds that the distribution of energy requirements for US vehicle-trips and vehicle-days (the sum of all trips taken in a day) has a heavy tail, namely that a small proportion of long trips accounts for a disproportionately large amount of energy consumption. Current electric vehicle batteries (2011 Nissan Leaf) can satisfy 83% of vehicle-days, which account for 53% of all energy consumed in personal vehicle travel, while batteries that meet the performance targets can satisfy 98 to 99% of vehicle-days, which account for 90 to 96% of energy. These results allow for a quantification of the benefits of meeting performance targets for battery energy capacity, which can help assess technology readiness and guide allocation of research funding.",2015,5/22/25 18:31,5/22/25 18:31,,,,,,,,,,,,,"Massachusetts Institute of Technology, Engineering Systems Division",,eng,,,,,mit.primo.exlibrisgroup.com,THESIS Thesis ESD 2015 S.M.,Book Title: Performance targets for electric vehicle batteries,,,,,,,,,Massachusetts Institute of Technology Engineering Systems Division; Technology and Policy Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
